LATITUDE,LONGITUDE,NUMBER,X,Y,NAME
1.303690214,103.8236401,9139,26922.8714,31780.9605,Aft Cuscaden Rd Grange Rd
1.305435,103.8217767,9141,26715.4915,31973.8908,British Council Napier Rd
1.306089814,103.8212215,9149,26653.7071,32046.297,Opp British Council Napier Rd
1.306081104,103.8258137,9159,27164.7736,32045.3319,Aft Tomlinson Rd Tanglin Rd
1.307013533,103.8283551,9169,27447.6078,32148.4344,Delfi Orchard Orchard Rd
1.305879662,103.83049,9179,27685.2104,32023.0565,Royal Thai Embassy Orchard Rd
1.304886531,103.8254976,9191,27129.5922,31913.2423,The Regent S`pore Tomlinson Rd
1.307022384,103.8326552,9212,27926.175,32149.4126,Royal Plaza On Scotts Scotts Rd
1.307838056,103.8330508,9213,27970.2024,32239.6054,Thong Teck Bldg Scotts Rd
1.307319997,103.8331609,9219,27982.4499,32182.3211,Far East Plaza Scotts Rd
1.28210156,103.8172248,10009,26208.8945,29393.802,Bt Merah Int Bt Merah Ctrl
1.277738059,103.8374971,10011,28465.035,28911.3034,Bef Neil Rd New Bridge Rd
1.278320466,103.8376257,10017,28479.3532,28975.703,Aft Hosp Dr Eu Tong Sen St
1.279008197,103.8386036,10018,28588.1809,29051.7489,Outram Pk Stn Exit F/SGH Eu Tong Sen St
1.277448379,103.8383889,10021,28564.2912,28879.2723,Blk 3 Neil Rd
1.277347768,103.83637,10039,28339.5942,28868.1468,Bef Hosp Dr Kg Bahru Rd
1.276058348,103.8351907,10041,28208.3469,28725.5693,Bef Kampong Bahru Ter Kg Bahru Rd
1.276233024,103.8348379,10049,28169.0847,28744.8841,Opp Kampong Bahru Ter Kg Bahru Rd
1.277411635,103.8321441,10051,27869.2908,28875.2088,Blk 149 Jln Bt Merah
1.277396641,103.8327518,10059,27936.9198,28873.5508,Opp Blk 149 Jln Bt Merah
1.278604722,103.8294864,10061,27573.508,29007.1344,Blk 140 Jln Bt Merah
1.278554722,103.8300825,10069,27639.8504,29001.6056,Opp Blk 140 Jln Bt Merah
1.280453094,103.8263892,10071,27228.8172,29211.5186,Blk 111 Jln Bt Merah
1.280395014,103.8270891,10079,27306.7061,29205.0962,Blk 201 Jln Bt Merah
1.282278354,103.8224174,10081,26786.7929,29413.348,Opp Blk 120 Jln Bt Merah
1.282923322,103.8216566,10089,26702.1186,29484.6656,Blk 119 Jln Bt Merah
1.283941086,103.8178396,10091,26277.3201,29597.2069,Bt Merah Town Ctr Jln Bt Merah
1.284209239,103.8176572,10099,26257.0218,29626.858,Opp Bt Merah Town Ctr Jln Bt Merah
1.285025682,103.8137437,10101,25821.4743,29717.139,Opp Bt Merah Sec Sch Jln Bt Merah
1.285314031,103.8136554,10109,25811.6493,29749.0233,Bt Merah Sec Sch Jln Bt Merah
1.285928351,103.8093541,10111,25332.9547,29816.9557,Opp Blk 28 Jln Bt Merah
1.28598009,103.8112252,10119,25541.186,29822.6749,Opp Pacific Tech Ctr Jln Bt Merah
1.282661112,103.8289411,10121,27512.8238,29455.6692,Blk 126 CP Kim Tian Rd
